epoch,Accuracy,learning_rate,loss,val_Accuracy,val_loss
0,0.7402181625366211,9.999999747378752e-05,0.7547105550765991,0.8709999918937683,0.3569125533103943
1,0.8497454524040222,9.999999747378752e-05,0.43348851799964905,0.8888000249862671,0.30618834495544434
2,0.8745999932289124,9.999999747378752e-05,0.3530423045158386,0.8913999795913696,0.29886385798454285
3,0.8928727507591248,9.999999747378752e-05,0.3045126795768738,0.9136000275611877,0.24289992451667786
4,0.9048908948898315,9.999999747378752e-05,0.2698003649711609,0.9035999774932861,0.2544825077056885
5,0.911581814289093,9.999999747378752e-05,0.2470337152481079,0.9197999835014343,0.2220643311738968
6,0.920163631439209,9.999999747378752e-05,0.22473692893981934,0.921999990940094,0.22022834420204163
7,0.9247999787330627,9.999999747378752e-05,0.2111026793718338,0.9264000058174133,0.20232178270816803
8,0.9304909110069275,9.999999747378752e-05,0.19301161170005798,0.9264000058174133,0.1943577527999878
9,0.9357272982597351,9.999999747378752e-05,0.18012695014476776,0.9272000193595886,0.2006070762872696
10,0.9401454329490662,9.999999747378752e-05,0.16467925906181335,0.9259999990463257,0.21627873182296753
11,0.9434363842010498,9.999999747378752e-05,0.15517021715641022,0.9330000281333923,0.19935666024684906
12,0.9451090693473816,9.999999747378752e-05,0.14587126672267914,0.9330000281333923,0.1877356320619583
13,0.9499090909957886,9.999999747378752e-05,0.1369306594133377,0.9309999942779541,0.23122553527355194
14,0.9525636434555054,9.999999747378752e-05,0.12978345155715942,0.9363999962806702,0.19416826963424683
15,0.95660001039505,9.999999747378752e-05,0.11911364644765854,0.9345999956130981,0.21229323744773865
16,0.9589636325836182,9.999999747378752e-05,0.11128292232751846,0.9345999956130981,0.20003816485404968
17,0.9607999920845032,9.999999747378752e-05,0.10536818951368332,0.9387999773025513,0.20577585697174072
18,0.9708181619644165,9.999999747378752e-06,0.07912687957286835,0.9409999847412109,0.1997692584991455
19,0.9732363820075989,9.999999747378752e-06,0.07014046609401703,0.9394000172615051,0.2049291431903839
0,0.7296727299690247,9.999999747378752e-05,0.7838882207870483,0.8637999892234802,0.36507052183151245
1,0.8477091193199158,9.999999747378752e-05,0.4410548508167267,0.8920000195503235,0.30830734968185425
2,0.8753091096878052,9.999999747378752e-05,0.3544095754623413,0.902400016784668,0.2729646563529968
3,0.8897636532783508,9.999999747378752e-05,0.3107815384864807,0.9052000045776367,0.2620210349559784
4,0.90303635597229,9.999999747378752e-05,0.27704310417175293,0.9085999727249146,0.26020124554634094
5,0.9111454486846924,9.999999747378752e-05,0.2525360882282257,0.9218000173568726,0.22380422055721283
6,0.9174363613128662,9.999999747378752e-05,0.23036788403987885,0.9218000173568726,0.21603573858737946
7,0.9231454730033875,9.999999747378752e-05,0.21333162486553192,0.9282000064849854,0.1972975730895996
8,0.9277636408805847,9.999999747378752e-05,0.19684620201587677,0.9291999936103821,0.19756563007831573
9,0.9345272779464722,9.999999747378752e-05,0.1811746507883072,0.9277999997138977,0.20112363994121552
10,0.9382363557815552,9.999999747378752e-05,0.1713649183511734,0.9259999990463257,0.198316752910614
11,0.942690908908844,9.999999747378752e-05,0.15763865411281586,0.9264000058174133,0.2131752371788025
12,0.9469090700149536,9.999999747378752e-05,0.14488135278224945,0.9336000084877014,0.19818848371505737
13,0.9594545364379883,9.999999747378752e-06,0.11145900934934616,0.9369999766349792,0.1881221979856491
14,0.9636909365653992,9.999999747378752e-06,0.09900031983852386,0.9366000294685364,0.1963305026292801
15,0.9646545648574829,9.999999747378752e-06,0.09567759931087494,0.9383999705314636,0.1962037980556488
16,0.9672181606292725,9.999999747378752e-06,0.08795859664678574,0.9376000165939331,0.20069116353988647
17,0.9678909182548523,9.999999747378752e-06,0.08589764684438705,0.9383999705314636,0.2001660019159317
18,0.9674727320671082,9.999999747378752e-06,0.08725593984127045,0.9376000165939331,0.20346511900424957
19,0.9710000157356262,9.999999974752427e-07,0.07742776721715927,0.9380000233650208,0.20333416759967804
20,0.9701454639434814,9.999999974752427e-07,0.07936286926269531,0.9377999901771545,0.20357388257980347
